Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7sg9ToL94GAiksETi5GZGz,"Ur","Z","SZA",2014-04-08,235769,47,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap","Top Dawg Entertainment",0.754,0.56,0,-8.01,1,0.0608,0.318,0.131,0.0863,0.355,114.034,4
7GPstnufSTScEaw9dMxO9H,"Childs Play (feat. Chance the Rapper)","Z","SZA,Chance the Rapper",2014-04-08,216234,64,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap,chicago rap,conscious hip hop,hip hop,pop rap,trap","Top Dawg Entertainment",0.759,0.342,1,-9.044,0,0.0406,0.775,0,0.112,0.22,99.995,4
3oUSdLtRYOSvXcLMrHctv7,"Julia","Z","SZA",2014-04-08,219642,57,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap","Top Dawg Entertainment",0.666,0.688,0,-7.071,1,0.031,0.00866,0.000009,0.0964,0.433,111.02,4
0Kz9aGVgFvndWkcaiylIt5,"Warm Winds (feat. Isaiah Rashad)","Z","SZA,Isaiah Rashad",2014-04-08,350911,52,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap,hip hop,tennessee hip hop,underground hip hop","Top Dawg Entertainment",0.387,0.505,7,-8.579,1,0.247,0.259,0.000133,0.564,0.158,84.942,4
4N0VFSI2wJu2NzwUuI0sMz,"HiiiJack","Z","SZA",2014-04-08,222164,49,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap","Top Dawg Entertainment",0.682,0.551,8,-8.746,1,0.288,0.221,0.0000223,0.133,0.357,73.988,4
0FclB23LoCgzu0jm9VOPuq,"Green Mile","Z","SZA",2014-04-08,214385,43,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap","Top Dawg Entertainment",0.366,0.63,9,-7.716,0,0.138,0.595,0.571,0.127,0.134,149.595,4
6Aj2H0Z0v0JgnSfPEwCgW0,"Babylon (feat. Kendrick Lamar)","Z","SZA,Kendrick Lamar",2014-04-08,234284,55,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap,conscious hip hop,hip hop,west coast rap","Top Dawg Entertainment",0.51,0.71,5,-6.891,0,0.113,0.629,0,0.0607,0.367,131.891,4
7swGurTfZlwx7mTOE8PpIc,"Sweet November","Z","SZA",2014-04-08,243744,57,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap","Top Dawg Entertainment",0.478,0.551,0,-7.079,0,0.0354,0.532,0.0154,0.288,0.481,108.849,4
3fdqtnqZ7Zax6CIeQWZWN6,"Shattered Ring","Z","SZA",2014-04-08,245806,42,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap","Top Dawg Entertainment",0.396,0.475,4,-9.242,0,0.0303,0.0504,0.0226,0.144,0.0798,160.031,4
2EToRpTwkuy7B0Hi74g7jF,"Omega","Z","SZA",2014-04-08,263313,41,thiagolaf,2021-11-30T17:18:10Z,"pop,r&b,rap","Top Dawg Entertainment",0.581,0.576,4,-11.748,0,0.0671,0.0753,0.00819,0.0684,0.142,124.445,4
5wTVNpi5WDByxBgKgUE6MU,"Supermodel","Ctrl","SZA",2017-06-09,181120,68,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.613,0.442,6,-8.874,1,0.288,0.651,0,0.26,0.252,119.737,5
0q75NwOoFiARAVp4EXU4Bs,"Love Galore (feat. Travis Scott)","Ctrl","SZA,Travis Scott",2017-06-09,275080,77,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap,slap house","Top Dawg Entertainment/RCA Records",0.795,0.594,0,-6.2,1,0.0748,0.112,0,0.162,0.409,135.002,4
593W4qZOwwdqF6YnimJjL6,"Doves In The Wind (feat. Kendrick Lamar)","Ctrl","SZA,Kendrick Lamar",2017-06-09,266080,68,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap,conscious hip hop,hip hop,west coast rap","Top Dawg Entertainment/RCA Records",0.693,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.335,4
06u5LrUpbosQlQ1QJFhPpG,"Drew Barrymore","Ctrl","SZA",2017-06-09,231400,70,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.577,0.523,0,-5.538,0,0.0429,0.491,0,0.147,0.29,134.93,4
5yvhdo8FXbBsIllxv2Rr94,"Prom","Ctrl","SZA",2017-06-09,196133,66,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.805,0.702,1,-4.877,1,0.0887,0.0639,0,0.123,0.225,120.048,4
6gU9OKjOE7ghfEd55oRO57,"The Weekend","Ctrl","SZA",2017-06-09,272186,73,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.4,0.366,8,-9.405,0,0.0597,0.242,0,0.126,0.161,73.313,3
6Vmow8PuUaU7W1T2WWLZk2,"Go Gina","Ctrl","SZA",2017-06-09,161613,61,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.603,0.606,9,-6.634,1,0.114,0.799,0,0.391,0.462,80.176,4
19woxaSpjOefa2JnAOoqW5,"Garden (Say It Like Dat)","Ctrl","SZA",2017-06-09,208400,66,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.73,0.457,9,-7.26,1,0.283,0.0705,0,0.124,0.549,111.352,4
2fXwCWkh6YG5zU1IyvQrbs,"Broken Clocks","Ctrl","SZA",2017-06-09,231253,80,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.692,0.684,6,-7.364,1,0.155,0.131,0,0.156,0.406,112.912,4
0336UwEBwBBao8uWCuugYr,"Anything","Ctrl","SZA",2017-06-09,149320,58,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.669,0.488,0,-4.711,0,0.326,0.394,0.000649,0.0952,0.548,151.798,4
3LcoHjgdNl4xtWVaJGSA1p,"Wavy (Interlude) (feat. James Fauntleroy)","Ctrl","SZA,James Fauntleroy",2017-06-09,75800,56,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.629,0.509,0,-8.1,0,0.0809,0.475,0,0.0727,0.389,78.99,1
5fQBa4wkmq28xpSLOQ202K,"Normal Girl","Ctrl","SZA",2017-06-09,253586,72,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.624,0.532,0,-7.146,1,0.124,0.269,0.0000517,0.158,0.362,76.453,4
1IgePMOW0qEe1AViWgkal9,"Pretty Little Birds (feat. Isaiah Rashad)","Ctrl","SZA,Isaiah Rashad",2017-06-09,245946,62,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap,hip hop,tennessee hip hop,underground hip hop","Top Dawg Entertainment/RCA Records",0.362,0.518,1,-7.687,1,0.306,0.223,0.00314,0.316,0.348,89.667,4
4h6ViRoztTBpWcJ1zFT9Zg,"20 Something","Ctrl","SZA",2017-06-09,198160,70,thiagolaf,2021-11-30T17:15:34Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.569,0.299,11,-8.603,1,0.275,0.739,0,0.054,0.505,81.049,4
3fcX3E9l1gVnfKeWaEzHHv,"Love Galore (Alt Version)","Ctrl (Deluxe)","SZA",2022-06-09,273777,59,thiagolaf,2022-06-10T04:04:03Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.827,0.439,9,-10.278,0,0.0784,0.0743,0,0.106,0.463,134.961,4
3vZGtceCbJVh5aDT4XhE0p,"2AM","Ctrl (Deluxe)","SZA",2022-06-09,242823,64,thiagolaf,2022-06-10T04:04:03Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.504,0.267,9,-13.678,0,0.406,0.438,0,0.141,0.392,83.966,4
4pHy0gmjfpD0Fgond5c4Ta,"Miles","Ctrl (Deluxe)","SZA",2022-06-09,69728,57,thiagolaf,2022-06-10T04:04:03Z,"pop,r&b,rap","Top Dawg Entertainment/RCA Records",0.64,0.356,7,-11.563,1,0.0612,0.965,0.000214,0.109,0.574,122.531,5
